video_id,cohort,num_frames_official,n_annotation_xml,coverage_pct,n_polyp_frames
001-001,001,45465,45465,100.0,6190
001-002,001,26164,26164,100.0,0
001-003,001,39611,39611,100.0,5598
001-004,001,45663,45663,100.0,5244
001-005,001,29161,29161,100.0,2996
001-006,001,49901,49901,100.0,12130
001-007,001,39580,39580,100.0,7057
001-008,001,35740,35740,100.0,0
001-009,001,40700,40700,100.0,7714
001-010,001,46424,46424,100.0,3318
001-011,001,24006,24006,100.0,0
001-012,001,42420,42420,100.0,0
001-013,001,22418,22418,100.0,0
001-014,001,28712,28712,100.0,1255
001-015,001,31349,31349,100.0,0
002-001,002,25998,25998,100.0,0
002-002,002,24969,24969,100.0,5132
002-003,002,48091,48091,100.0,16239
002-004,002,31818,31818,100.0,5469
002-005,002,40734,40734,100.0,6443
002-006,002,52719,52719,100.0,5351
002-007,002,50299,50299,100.0,12411
002-008,002,33216,33216,100.0,5794
002-009,002,29853,29853,100.0,6775
002-010,002,25898,25898,100.0,4408
002-011,002,38474,38474,100.0,10916
002-012,002,34464,34464,100.0,0
002-013,002,24432,24432,100.0,0
002-014,002,56272,56272,100.0,9041
002-015,002,20915,20915,100.0,0
003-001,003,51719,51719,100.0,8640
003-002,003,50601,50601,100.0,6291
003-003,003,105812,105812,100.0,21286
003-004,003,75918,75918,100.0,9398
003-005,003,123610,123610,100.0,13681
003-006,003,102691,102691,100.0,9055
003-007,003,58647,58647,100.0,1170
003-008,003,51679,51679,100.0,9109
003-009,003,58238,58238,100.0,3765
003-010,003,56282,56282,100.0,2680
003-011,003,63077,63077,100.0,0
003-012,003,96731,96731,100.0,11778
003-013,003,73670,73670,100.0,14686
003-014,003,77112,77112,100.0,4317
003-015,003,111057,111057,100.0,7889
004-001,004,25516,25516,100.0,3298
004-002,004,34529,34529,100.0,0
004-003,004,33598,33598,100.0,8735
004-004,004,33960,33960,100.0,4499
004-005,004,22465,22465,100.0,3401
004-006,004,40986,40986,100.0,3437
004-007,004,29108,29108,100.0,0
004-008,004,22742,22742,100.0,1422
004-009,004,30311,30311,100.0,2800
004-010,004,24491,24491,100.0,0
004-011,004,48470,48470,100.0,2781
004-012,004,23527,23527,100.0,3592
004-013,004,54167,54167,100.0,23201
004-014,004,36869,36869,100.0,7965
004-015,004,54674,54674,100.0,13752
