frame_id,video_id,synthetic_class,variant,image_path
001-001_15173,001-001,0,clean,data/e05_synthetic/clean/001-001_15173.png
001-001_15173,001-001,0,pattern_noise,data/e05_synthetic/pattern_noise/001-001_15173.png
001-001_15173,001-001,0,color_shift,data/e05_synthetic/color_shift/001-001_15173.png
001-001_15173,001-001,0,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_15173.png
001-001_15173,001-001,0,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_15173.png
001-001_15385,001-001,0,clean,data/e05_synthetic/clean/001-001_15385.png
001-001_15385,001-001,0,pattern_noise,data/e05_synthetic/pattern_noise/001-001_15385.png
001-001_15385,001-001,0,color_shift,data/e05_synthetic/color_shift/001-001_15385.png
001-001_15385,001-001,0,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_15385.png
001-001_15385,001-001,0,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_15385.png
001-001_15818,001-001,2,clean,data/e05_synthetic/clean/001-001_15818.png
001-001_15818,001-001,2,pattern_noise,data/e05_synthetic/pattern_noise/001-001_15818.png
001-001_15818,001-001,2,color_shift,data/e05_synthetic/color_shift/001-001_15818.png
001-001_15818,001-001,2,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_15818.png
001-001_15818,001-001,2,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_15818.png
001-001_16175,001-001,2,clean,data/e05_synthetic/clean/001-001_16175.png
001-001_16175,001-001,2,pattern_noise,data/e05_synthetic/pattern_noise/001-001_16175.png
001-001_16175,001-001,2,color_shift,data/e05_synthetic/color_shift/001-001_16175.png
001-001_16175,001-001,2,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_16175.png
001-001_16175,001-001,2,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_16175.png
001-001_16186,001-001,0,clean,data/e05_synthetic/clean/001-001_16186.png
001-001_16186,001-001,0,pattern_noise,data/e05_synthetic/pattern_noise/001-001_16186.png
001-001_16186,001-001,0,color_shift,data/e05_synthetic/color_shift/001-001_16186.png
001-001_16186,001-001,0,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_16186.png
001-001_16186,001-001,0,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_16186.png
001-001_16363,001-001,1,clean,data/e05_synthetic/clean/001-001_16363.png
001-001_16363,001-001,1,pattern_noise,data/e05_synthetic/pattern_noise/001-001_16363.png
001-001_16363,001-001,1,color_shift,data/e05_synthetic/color_shift/001-001_16363.png
001-001_16363,001-001,1,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_16363.png
001-001_16363,001-001,1,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_16363.png
001-001_16473,001-001,2,clean,data/e05_synthetic/clean/001-001_16473.png
001-001_16473,001-001,2,pattern_noise,data/e05_synthetic/pattern_noise/001-001_16473.png
001-001_16473,001-001,2,color_shift,data/e05_synthetic/color_shift/001-001_16473.png
001-001_16473,001-001,2,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_16473.png
001-001_16473,001-001,2,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_16473.png
001-001_16649,001-001,2,clean,data/e05_synthetic/clean/001-001_16649.png
001-001_16649,001-001,2,pattern_noise,data/e05_synthetic/pattern_noise/001-001_16649.png
001-001_16649,001-001,2,color_shift,data/e05_synthetic/color_shift/001-001_16649.png
001-001_16649,001-001,2,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_16649.png
001-001_16649,001-001,2,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_16649.png
001-001_16683,001-001,3,clean,data/e05_synthetic/clean/001-001_16683.png
001-001_16683,001-001,3,pattern_noise,data/e05_synthetic/pattern_noise/001-001_16683.png
001-001_16683,001-001,3,color_shift,data/e05_synthetic/color_shift/001-001_16683.png
001-001_16683,001-001,3,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_16683.png
001-001_16683,001-001,3,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_16683.png
001-001_16708,001-001,2,clean,data/e05_synthetic/clean/001-001_16708.png
001-001_16708,001-001,2,pattern_noise,data/e05_synthetic/pattern_noise/001-001_16708.png
001-001_16708,001-001,2,color_shift,data/e05_synthetic/color_shift/001-001_16708.png
001-001_16708,001-001,2,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_16708.png
001-001_16708,001-001,2,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_16708.png
001-001_16773,001-001,0,clean,data/e05_synthetic/clean/001-001_16773.png
001-001_16773,001-001,0,pattern_noise,data/e05_synthetic/pattern_noise/001-001_16773.png
001-001_16773,001-001,0,color_shift,data/e05_synthetic/color_shift/001-001_16773.png
001-001_16773,001-001,0,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_16773.png
001-001_16773,001-001,0,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_16773.png
001-001_16804,001-001,0,clean,data/e05_synthetic/clean/001-001_16804.png
001-001_16804,001-001,0,pattern_noise,data/e05_synthetic/pattern_noise/001-001_16804.png
001-001_16804,001-001,0,color_shift,data/e05_synthetic/color_shift/001-001_16804.png
001-001_16804,001-001,0,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_16804.png
001-001_16804,001-001,0,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_16804.png
001-001_17436,001-001,3,clean,data/e05_synthetic/clean/001-001_17436.png
001-001_17436,001-001,3,pattern_noise,data/e05_synthetic/pattern_noise/001-001_17436.png
001-001_17436,001-001,3,color_shift,data/e05_synthetic/color_shift/001-001_17436.png
001-001_17436,001-001,3,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_17436.png
001-001_17436,001-001,3,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_17436.png
001-001_17444,001-001,1,clean,data/e05_synthetic/clean/001-001_17444.png
001-001_17444,001-001,1,pattern_noise,data/e05_synthetic/pattern_noise/001-001_17444.png
001-001_17444,001-001,1,color_shift,data/e05_synthetic/color_shift/001-001_17444.png
001-001_17444,001-001,1,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_17444.png
001-001_17444,001-001,1,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_17444.png
001-001_17489,001-001,0,clean,data/e05_synthetic/clean/001-001_17489.png
001-001_17489,001-001,0,pattern_noise,data/e05_synthetic/pattern_noise/001-001_17489.png
001-001_17489,001-001,0,color_shift,data/e05_synthetic/color_shift/001-001_17489.png
001-001_17489,001-001,0,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_17489.png
001-001_17489,001-001,0,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_17489.png
001-001_17562,001-001,1,clean,data/e05_synthetic/clean/001-001_17562.png
001-001_17562,001-001,1,pattern_noise,data/e05_synthetic/pattern_noise/001-001_17562.png
001-001_17562,001-001,1,color_shift,data/e05_synthetic/color_shift/001-001_17562.png
001-001_17562,001-001,1,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_17562.png
001-001_17562,001-001,1,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_17562.png
001-001_18285,001-001,2,clean,data/e05_synthetic/clean/001-001_18285.png
001-001_18285,001-001,2,pattern_noise,data/e05_synthetic/pattern_noise/001-001_18285.png
001-001_18285,001-001,2,color_shift,data/e05_synthetic/color_shift/001-001_18285.png
001-001_18285,001-001,2,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_18285.png
001-001_18285,001-001,2,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_18285.png
001-001_18505,001-001,2,clean,data/e05_synthetic/clean/001-001_18505.png
001-001_18505,001-001,2,pattern_noise,data/e05_synthetic/pattern_noise/001-001_18505.png
001-001_18505,001-001,2,color_shift,data/e05_synthetic/color_shift/001-001_18505.png
001-001_18505,001-001,2,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_18505.png
001-001_18505,001-001,2,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_18505.png
001-001_18733,001-001,0,clean,data/e05_synthetic/clean/001-001_18733.png
001-001_18733,001-001,0,pattern_noise,data/e05_synthetic/pattern_noise/001-001_18733.png
001-001_18733,001-001,0,color_shift,data/e05_synthetic/color_shift/001-001_18733.png
001-001_18733,001-001,0,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_18733.png
001-001_18733,001-001,0,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_18733.png
001-001_18787,001-001,2,clean,data/e05_synthetic/clean/001-001_18787.png
001-001_18787,001-001,2,pattern_noise,data/e05_synthetic/pattern_noise/001-001_18787.png
001-001_18787,001-001,2,color_shift,data/e05_synthetic/color_shift/001-001_18787.png
001-001_18787,001-001,2,pattern_noise_jitter,data/e05_synthetic/pattern_noise_jitter/001-001_18787.png
001-001_18787,001-001,2,color_shift_jitter,data/e05_synthetic/color_shift_jitter/001-001_18787.png
001-001_19064,001-001,0,clean,data/e05_synthetic/clean/001-001_19064.png
001-001_19064,001-001,0,pattern_noise,data/e05_synthetic/pattern_noise/001-001_19064.png
