frame_id,whitening_strength,ssim
001-001_15173,0.0,0.9672111291152848
001-001_15173,0.25,0.9561136059109671
001-001_15173,0.5,0.9360389892852997
001-001_15173,0.75,0.9061067858229029
001-001_15173,1.0,0.866938672537153
001-001_15385,0.0,0.9512892906532018
001-001_15385,0.25,0.9459339565139896
001-001_15385,0.5,0.9325733210784458
001-001_15385,0.75,0.9108599857260753
001-001_15385,1.0,0.8810402155271816
001-001_15818,0.0,0.9501099182095654
001-001_15818,0.25,0.9412047126713584
001-001_15818,0.5,0.9082105744622215
001-001_15818,0.75,0.8517950657697398
001-001_15818,1.0,0.7778213748602297
001-001_16175,0.0,0.9755058559712785
001-001_16175,0.25,0.9720562274871266
001-001_16175,0.5,0.9673888254168811
001-001_16175,0.75,0.959202686881958
001-001_16175,1.0,0.9481855940120054
001-001_16186,0.0,0.9430519400148577
001-001_16186,0.25,0.940365286214741
001-001_16186,0.5,0.9360637330770336
001-001_16186,0.75,0.9285863303342108
001-001_16186,1.0,0.9181592720078199
001-001_16363,0.0,0.8699887238606228
001-001_16363,0.25,0.8710242448255169
001-001_16363,0.5,0.8685632693888968
001-001_16363,0.75,0.8593166669227358
001-001_16363,1.0,0.8435222349699573
001-001_16473,0.0,0.9369814928576679
001-001_16473,0.25,0.9357432386312009
001-001_16473,0.5,0.9267100342791121
001-001_16473,0.75,0.9105986123862897
001-001_16473,1.0,0.8875387233550266
001-001_16649,0.0,0.9671170050324277
001-001_16649,0.25,0.9592503862594604
001-001_16649,0.5,0.9384687384015113
001-001_16649,0.75,0.9038676317607062
001-001_16649,1.0,0.8567729696454539
001-001_16683,0.0,0.974589002418636
001-001_16683,0.25,0.9647319792300372
001-001_16683,0.5,0.9403351901419219
001-001_16683,0.75,0.9015361685375429
001-001_16683,1.0,0.8509007400387159
001-001_16708,0.0,0.9768737730754354
001-001_16708,0.25,0.9787326147427512
001-001_16708,0.5,0.9712469123632814
001-001_16708,0.75,0.9537984526196656
001-001_16708,1.0,0.9271293900704475
001-001_16773,0.0,0.91646815116467
001-001_16773,0.25,0.90709339422314
001-001_16773,0.5,0.8829346619654747
001-001_16773,0.75,0.8446561755499666
001-001_16773,1.0,0.7942474968867935
001-001_16804,0.0,0.962144591789164
001-001_16804,0.25,0.9528413945714606
001-001_16804,0.5,0.9315068232696534
001-001_16804,0.75,0.8984149435654207
001-001_16804,1.0,0.8549537580062643
001-001_17436,0.0,0.962855092644428
001-001_17436,0.25,0.9633886824939032
001-001_17436,0.5,0.9589925182212808
001-001_17436,0.75,0.9494925002427518
001-001_17436,1.0,0.9346903811314935
001-001_17444,0.0,0.86478646479234
001-001_17444,0.25,0.8567845646833182
001-001_17444,0.5,0.8519182861298775
001-001_17444,0.75,0.8442069863427737
001-001_17444,1.0,0.8344113882929387
001-001_17489,0.0,0.8988673902055142
001-001_17489,0.25,0.9059003550763242
001-001_17489,0.5,0.907224431557517
001-001_17489,0.75,0.9004991411562641
001-001_17489,1.0,0.8860799718814538
001-001_17562,0.0,0.9785868330833238
001-001_17562,0.25,0.9778941587750769
001-001_17562,0.5,0.9658821066686333
001-001_17562,0.75,0.9427063335187635
001-001_17562,1.0,0.9087678420156428
001-001_18285,0.0,0.9517210870238717
001-001_18285,0.25,0.949362617634903
001-001_18285,0.5,0.938239720360195
001-001_18285,0.75,0.9182682604527277
001-001_18285,1.0,0.8899099650987048
001-001_18505,0.0,0.9208612265309313
001-001_18505,0.25,0.9121430928041722
001-001_18505,0.5,0.9011886416471179
001-001_18505,0.75,0.8855519416272922
001-001_18505,1.0,0.8654852921424715
001-001_18733,0.0,0.9275236851054268
001-001_18733,0.25,0.9286236642149985
001-001_18733,0.5,0.9259428523579043
001-001_18733,0.75,0.9192516028039481
001-001_18733,1.0,0.9087643097015711
001-001_18787,0.0,0.9783315560856968
001-001_18787,0.25,0.977158901967759
001-001_18787,0.5,0.97265358639454
001-001_18787,0.75,0.9637072760383605
001-001_18787,1.0,0.9504537281646029
001-001_19064,0.0,0.9593141357570678
001-001_19064,0.25,0.9519641277471905
001-001_19064,0.5,0.9366217435049453
001-001_19064,0.75,0.9130288155410176
001-001_19064,1.0,0.8817266406570108
001-001_19151,0.0,0.9812877425586494
001-001_19151,0.25,0.9772277960315099
001-001_19151,0.5,0.9708989000156283
001-001_19151,0.75,0.9607718390297255
001-001_19151,1.0,0.9469209546488028
001-001_19259,0.0,0.948371579124778
001-001_19259,0.25,0.943502641582055
001-001_19259,0.5,0.9344782903493551
001-001_19259,0.75,0.9202474162814549
001-001_19259,1.0,0.9011192816309886
001-001_19397,0.0,0.9362405394177793
001-001_19397,0.25,0.936072788534786
001-001_19397,0.5,0.9312953636386827
001-001_19397,0.75,0.9201249943216786
001-001_19397,1.0,0.9027755400033971
001-001_19422,0.0,0.9502519240576782
001-001_19422,0.25,0.951465736905946
001-001_19422,0.5,0.9453253733908582
001-001_19422,0.75,0.9302202307897769
001-001_19422,1.0,0.9066748335263871
001-001_19772,0.0,0.851886451493055
001-001_19772,0.25,0.8402643893724563
001-001_19772,0.5,0.8120986955888366
