video_id,cohort,endoscope_brand,n_frames,width,height,aspect_ratio,log_area,corner_black_fraction
001-001,001,Olympus,100,1352.0,1080.0,1.2518518518518518,14.194056576721175,0.5715911868964674
001-002,001,Olympus,100,1352.0,1080.0,1.2518518518518518,14.194056576721175,0.6776945055616672
001-003,001,Olympus,100,1352.0,1080.0,1.2518518518518518,14.194056576721175,0.6776639469502506
001-004,001,Olympus,100,1352.0,1080.0,1.2518518518518518,14.194056576721175,0.5716293851607384
001-005,001,Olympus,100,1352.0,1080.0,1.2518518518518518,14.194056576721175,0.5716675834250091
001-006,001,Olympus,100,1352.0,1080.0,1.2518518518518518,14.194056576721175,0.7098459845984599
001-007,001,Olympus,100,1352.0,1080.0,1.2518518518518518,14.194056576721175,0.5715682679379049
001-008,001,Olympus,100,1352.0,1080.0,1.2518518518518518,14.194056576721175,0.7097504889377827
001-009,001,Olympus,100,1352.0,1080.0,1.2518518518518518,14.194056576721175,0.6780535692458134
001-010,001,Olympus,100,1352.0,1080.0,1.2518518518518518,14.194056576721175,0.6775951900745631
001-011,001,Olympus,100,1352.0,1080.0,1.2518518518518518,14.194056576721175,0.5754683107199609
001-012,001,Olympus,100,1246.0,1080.0,1.1537037037037037,14.112410019465663,0.6148612770476569
001-013,001,Olympus,100,1352.0,1080.0,1.2518518518518518,14.194056576721175,0.678030650287251
001-014,001,Olympus,100,1352.0,1080.0,1.2518518518518518,14.194056576721175,0.6778320193130424
001-015,001,Olympus,100,1352.0,1080.0,1.2518518518518518,14.194056576721175,0.573638613861386
002-001,002,Olympus,100,1350.0,1080.0,1.25,14.19257619155074,0.6805402762498471
002-002,002,Olympus,100,1350.0,1080.0,1.25,14.19257619155074,0.6829926048160371
002-003,002,Olympus,100,1350.0,1080.0,1.25,14.19257619155074,0.6821484231756509
002-004,002,Olympus,100,1350.0,1080.0,1.25,14.19257619155074,0.6819077741107444
002-005,002,Olympus,100,1350.0,1080.0,1.25,14.19257619155074,0.6790352646375749
002-006,002,Fujifilm,100,1248.0,959.0,1.3013555787278415,13.995188623812812,0.7753636737593956
002-007,002,Olympus,100,1350.0,1080.0,1.25,14.19257619155074,0.6816633052194109
002-008,002,Fujifilm,100,1248.0,959.0,1.3013555787278415,13.995188623812812,0.775041135335253
002-009,002,Fujifilm,100,1248.0,959.0,1.3013555787278415,13.995188623812812,0.7647386036423469
002-010,002,Olympus,100,1350.0,1080.0,1.25,14.19257619155074,0.6811399889988998
002-011,002,Fujifilm,100,1248.0,959.0,1.3013555787278415,13.995188623812812,0.7645656482554879
002-012,002,Fujifilm,100,1248.0,959.0,1.3013555787278415,13.995188623812812,0.774788713959837
